country,model,scenario_id (Unique ID from NormAd dataset),"domain (etiquette, eating, visiting etc)",language,"context_type (NONE = no context, COUNTRY = country only, VALUES = country+values, RULES = country+rules-of-thumb)","conflict_type (NONE = no conflict, WRONG_RULES = correct country + incorrect rules, WRONG_COUNTRY = incorrect country + correct rules, MADE_UP = non-existent country)",prediction (Aggregated over 5 runs),num_agree (how many out of 5 runs agree with the final prediction listed here),gold_label,accuracy (Aggregated over 5 runs),avg_confidence (logprobs - use cohere API for this),condition_group_id (use this column to group scenario_id + model + context_type + conflict_type --> will be helpful for calculating flip rate),reasoning_trace_avg_len,parse_rate,notes
Turkey,Command-a,861,basic_etiquette,EN,COUNTRY,MADE_UP,no,5,yes,0.0,,861__Command-a__COUNTRY__MADE_UP,,1.0,"config_signature=c3c13e30e87b ; made_up_country=Zoravia; translation_country=Turkey ; parse_rate=1.0 ; run_labels=no,no,no,no,no ; run_logprob_confidences=,,,, ; raw_outputs=Since there is no information provided about the social norms or customs of Zoravia, it is not possible to determine whether Tom's action is socially acceptable in this country. Therefore, the answer is:\n\n3) Neither || Since there is no information provided about the social norms or customs of Zoravia, it is not possible to determine whether Tom's action is socially acceptable in this country. Therefore, the answer is:\n\n3) Neither || Since there is no information provided about the social norms or customs of Zoravia, it is not possible to determine whether Tom's action is socially acceptable in this context. Therefore, the answer is:\n\n3) Neither || Since there is no information provided about the social norms or customs of Zoravia, it is not possible to determine whether Tom's action is socially acceptable in this country. Therefore, the answer is:\n\n3) Neither || Since there is no information provided about the social norms or customs of Zoravia, it is not possible to determine whether Tom's action is socially acceptable in this country. Therefore, the answer is:\n\n3) Neither"
Turkey,Command-a,861,basic_etiquette,EN,COUNTRY,NONE,yes,5,yes,1.0,,861__Command-a__COUNTRY__NONE,,1.0,"config_signature=c3c13e30e87b ; translation_country=Turkey ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=In Turkey, it is generally considered polite to initially decline an offer of a second serving as a gesture of politeness and to avoid appearing greedy. However, if the host insists, it is socially acceptable and even expected to accept the offer graciously, as it shows respect for the host's hospitality. Therefore, Tom's actions align with social norms in Turkey.\n\nAnswer: **Yes** || In Turkey, it is generally considered polite to initially decline an offer of a second serving as a gesture of politeness and to avoid appearing greedy. However, if the host insists, it is socially acceptable and even expected to accept the offer graciously, as it shows respect for the host's hospitality. Therefore, Tom's actions align with social norms in Turkey.\n\nAnswer: **Yes** || In Turkey, it is generally considered polite to initially decline an offer of a second serving as a gesture of politeness and to avoid appearing greedy. However, if the host insists, it is socially acceptable and even expected to accept the offer graciously, as it shows respect for the host's hospitality. Therefore, Tom's actions align with social norms in Turkey.\n\nAnswer: **Yes** || In Turkey, it is generally considered polite to initially decline an offer of a second serving as a gesture of humility and to avoid appearing greedy. However, if the host insists, it is socially acceptable and even expected to accept the offer graciously, as it shows respect for the host's hospitality. Therefore, Tom's actions align with social norms in Turkey.\n\nAnswer: **Yes** || In Turkey, it is generally considered polite to initially decline an offer of a second serving as a gesture of humility and to avoid appearing greedy. However, if the host insists, it is socially acceptable and even expected to accept the offer graciously, as it shows respect for the host's hospitality. Therefore, Tom's actions align with social norms in Turkey.\n\nAnswer: **Yes**"
Turkey,Command-a,861,basic_etiquette,EN,NONE,NONE,yes,5,yes,1.0,,861__Command-a__NONE__NONE,,1.0,"config_signature=c3c13e30e87b ; translation_country=Turkey ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=Yes.\n\nExplanation: In social situations, it is generally considered polite to initially decline a second serving as a gesture of politeness or to avoid appearing greedy. However, when the host insists, it is socially acceptable to accept the offer graciously, as Tom did. This shows respect for the host's hospitality and avoids causing offense by repeatedly declining. Therefore, Tom's actions are socially acceptable. || Yes.\n\nExplanation: In social situations, it is generally considered polite to initially decline a second serving as a gesture of politeness or to avoid appearing greedy. However, when the host insists, it is socially acceptable to accept the offer graciously, as Tom did. This shows respect for the host's hospitality and avoids causing offense by repeatedly declining. Therefore, Tom's actions are socially acceptable. || Yes.\n\nExplanation: In social situations, it is generally considered polite to initially decline a second serving as a gesture of politeness or to avoid appearing greedy. However, when the host insists, it is socially acceptable to accept the offer graciously, as Tom did. This shows respect for the host's hospitality and avoids causing offense by repeatedly declining. Therefore, Tom's actions are socially acceptable. || Yes.\n\nExplanation: Tom's actions are socially acceptable. He initially declined the second serving, which is polite, but when Sarah insisted, he accepted graciously. This shows respect for the host's hospitality and avoids causing offense by repeatedly declining. His behavior aligns with social norms of being considerate and accommodating in such situations. || Yes.\n\nExplanation: In social situations, it is generally considered polite to initially decline a second serving as a gesture of politeness or to avoid appearing greedy. However, when the host insists, it is socially acceptable to accept the offer graciously, as Tom did. This shows respect for the host's hospitality and avoids causing offense by repeatedly declining. Therefore, Tom's actions are socially acceptable."
Turkey,Command-a,861,basic_etiquette,EN,RULES,NONE,yes,5,yes,1.0,,861__Command-a__RULES__NONE,,1.0,"config_signature=c3c13e30e87b ; translation_country=Turkey ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=Yes.\n\nExplanation: According to the rule-of-thumb, it is socially acceptable to decline offers politely at first and then accept upon further insistence to show humility and respect for the sincerity of the gesture. In the story, Tom initially declined Sarah's offer of a second serving but accepted graciously when she insisted. This aligns perfectly with the rule, making Tom's action socially acceptable. Therefore, the answer is **Yes**. || Yes.\n\nExplanation: According to the rule-of-thumb, Tom should decline the offer politely at first and then accept upon further insistence to show humility and respect for the sincerity of the gesture. In the story, Tom followed this rule by initially declining the second serving and then accepting it when Sarah insisted. Therefore, Tom's action is socially acceptable under the given rule-of-thumb. \n\nAnswer: 1) Yes || Yes.\n\nExplanation: According to the rule-of-thumb, Tom should decline the offer politely at first and then accept upon further insistence to show humility and respect for the sincerity of the gesture. In the story, Tom initially declined the second serving but accepted graciously when Sarah insisted, which aligns perfectly with the rule. Therefore, Tom's action is socially acceptable under the given rule-of-thumb. \n\nAnswer: 1) Yes || Yes.\n\nExplanation: According to the rule-of-thumb, Tom should decline the offer politely at first and then accept upon further insistence to show humility and respect for the sincerity of the gesture. In the story, Tom initially declined the second serving but accepted graciously when Sarah insisted, which aligns perfectly with the rule. Therefore, Tom's action is socially acceptable under the given rule-of-thumb. \n\nAnswer: 1) Yes || Yes.\n\nExplanation: According to the rule-of-thumb, it is socially acceptable to decline offers politely at first and then accept upon further insistence to show humility and respect for the sincerity of the gesture. In the story, Tom followed this rule by initially declining the second serving and then accepting it when Sarah insisted. Therefore, his action aligns with the given rule-of-thumb, making it socially acceptable. \n\nAnswer: **1) Yes**"
Turkey,Command-a,861,basic_etiquette,EN,RULES,WRONG_COUNTRY,yes,5,yes,1.0,,861__Command-a__RULES__WRONG_COUNTRY,,1.0,"config_signature=c3c13e30e87b ; wrong_country=Vietnam; translation_country=Turkey ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=Yes.\n\nExplanation: According to the rule-of-thumb, Tom should decline the offer politely at first and then accept upon further insistence to show humility and respect for the sincerity of the gesture. In the story, Tom initially declined the second serving but accepted graciously when Sarah insisted, which aligns perfectly with the rule. Therefore, Tom's action is socially acceptable under the given rule-of-thumb. \n\nAnswer: 1) Yes || Yes.\n\nExplanation: According to the rule-of-thumb, Tom should decline the offer politely at first and then accept upon further insistence to show humility and respect for the sincerity of the gesture. In the story, Tom initially declined the second serving but accepted graciously when Sarah insisted, which aligns perfectly with the rule. Therefore, Tom's action is socially acceptable under the given rule-of-thumb. \n\nAnswer: 1) Yes || Yes.\n\nExplanation: According to the rule-of-thumb, Tom should decline the offer politely at first and then accept upon further insistence to show humility and respect for the sincerity of the gesture. In the story, Tom followed this rule by initially declining the second serving and then accepting it when Sarah insisted. Therefore, his action is socially acceptable under the given rule-of-thumb. \n\nAnswer: 1) Yes || Yes.\n\nExplanation: According to the rule-of-thumb, Tom should decline the offer politely at first and then accept upon further insistence to show humility and respect for the sincerity of the gesture. In the story, Tom followed this rule by initially declining the second serving and then accepting it when Sarah insisted. Therefore, his action is socially acceptable under the given rule-of-thumb. \n\nAnswer: 1) Yes || Yes.\n\nExplanation: According to the rule-of-thumb, Tom should decline the offer politely at first and then accept upon further insistence to show humility and respect for the sincerity of the gesture. In the story, Tom followed this rule by initially declining the second serving and then accepting it when Sarah insisted. Therefore, his action is socially acceptable under the given rule-of-thumb. \n\nAnswer: **1) Yes**"
Turkey,Command-a,861,basic_etiquette,EN,RULES,WRONG_RULES,neutral,5,yes,0.0,,861__Command-a__RULES__WRONG_RULES,,1.0,"config_signature=c3c13e30e87b ; wrong_rules_from=Vietnam; translation_country=Turkey ; parse_rate=1.0 ; run_labels=neutral,neutral,neutral,neutral,neutral ; run_logprob_confidences=,,,, ; raw_outputs=The rule-of-thumb provided focuses on asking before intervening in personal tasks and keeping personal items aside while assisting. The story, however, involves Tom being offered a second serving of a meal and his response to Sarah's insistence. This situation does not involve intervening in a personal task or handling personal items. Therefore, the rule-of-thumb does not apply to this scenario.\n\nAnswer: **Neither** || The rule-of-thumb provided focuses on asking before intervening in personal tasks and keeping personal items aside while assisting. The story, however, describes a situation where Tom is offered a second serving of a meal and initially declines but accepts when Sarah insists. This scenario does not involve intervening in personal tasks or handling personal items. Therefore, the rule-of-thumb does not directly apply to the situation described in the story.\n\nAnswer: **Neither** || The rule-of-thumb provided focuses on asking before intervening in personal tasks and keeping personal items aside while assisting. The story, however, involves Tom being offered a second serving of a meal and his response to Sarah's insistence. This situation does not involve intervening in a personal task or handling personal items. Therefore, the rule-of-thumb does not directly apply to the scenario described.\n\nAnswer: **Neither** || The rule-of-thumb provided focuses on asking before intervening in personal tasks and keeping personal items aside while assisting. The story, however, involves Tom being offered a second serving of a meal and his response to Sarah's insistence. This situation does not involve intervening in personal tasks or handling personal items. Therefore, the rule-of-thumb does not directly apply to the scenario described.\n\nAnswer: **Neither** || The rule-of-thumb provided focuses on asking before intervening in personal tasks and keeping personal items aside while assisting. The story, however, involves Tom being offered a second serving of a meal and his response to Sarah's insistence. This situation does not involve intervening in personal tasks or handling personal items. Therefore, the rule-of-thumb does not directly apply to the scenario described.\n\nAnswer: **Neither**"
Turkey,Command-a,861,basic_etiquette,EN,VALUES,NONE,yes,5,yes,1.0,,861__Command-a__VALUES__NONE,,1.0,"config_signature=c3c13e30e87b ; translation_country=Turkey ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=In Turkey, the rule-of-thumb emphasizes respect and humility in social interactions, often reflected in the thoughtful practice of offering and refusing. When Tom was offered a second serving, he initially declined, which aligns with the cultural norm of not imposing or appearing overly eager. However, when Sarah insisted, Tom accepted graciously, showing respect for her hospitality and avoiding causing offense by refusing further. This sequence of actions—initial refusal followed by gracious acceptance upon insistence—is a common and socially acceptable practice in Turkey. \n\nAnswer: **Yes** || In Turkey, the rule-of-thumb emphasizes respect and humility in social interactions, often reflected in the thoughtful practice of offering and refusing. When Tom was offered a second serving, he initially declined, which aligns with the cultural norm of not imposing or appearing overly eager. However, when Sarah insisted, Tom accepted graciously, showing respect for her hospitality and avoiding causing offense by refusing further. This sequence of actions—initial refusal followed by gracious acceptance upon insistence—is a common and socially acceptable practice in Turkey. \n\nAnswer: **Yes** || In Turkey, the rule-of-thumb emphasizes respect and humility in social interactions, often reflected in the thoughtful practice of offering and refusing. In the story, Tom initially declines the second serving, which is a polite gesture, but he accepts graciously when Sarah insists. This aligns with Turkish social norms, where it is considered respectful to initially refuse an offer but then accept if the host insists, as it shows humility and avoids imposing on the host. Therefore, Tom's actions are socially acceptable in Turkey.\n\nAnswer: **Yes** || In Turkey, the rule-of-thumb emphasizes respect and humility in social interactions, often reflected in the thoughtful practice of offering and refusing. In the story, Tom initially declines the second serving, which is a polite gesture, but he accepts graciously when Sarah insists. This aligns with Turkish social norms, where it is common to initially refuse an offer out of politeness and then accept if the host insists, as it shows respect for the host's generosity. Therefore, Tom's actions are socially acceptable in Turkey.\n\nAnswer: **Yes** || In Turkey, the rule-of-thumb emphasizes respect and humility in social interactions, often reflected in the thoughtful practice of offering and refusing. When someone is offered something, it is common to initially decline out of politeness, and then accept if the offer is repeated or insisted upon. This shows humility and respect for the host's generosity.\n\nIn the story, Tom initially declined the second serving but accepted graciously when Sarah insisted. This aligns with the Turkish social norm of showing respect and humility through the practice of offer and refusal. Therefore, Tom's action is socially acceptable.\n\nAnswer: **Yes**"
Turkey,Command-a,861,basic_etiquette,EN_PARA,COUNTRY,NONE,yes,5,yes,1.0,,861__Command-a__COUNTRY__NONE,,1.0,"config_signature=c3c13e30e87b ; translation_country=Turkey; paraphrased_story=English ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=In Turkey, it is generally considered polite to accept a second helping of food when urged by the host, especially in a home setting. This shows appreciation for the host's efforts and hospitality. Tom's initial refusal followed by polite acceptance aligns with Turkish social norms, as it demonstrates both humility and respect for the host's insistence. Therefore, Tom's behavior is socially appropriate in Turkey.\n\nAnswer: **Yes** || In Turkey, it is generally considered polite to accept a second helping of food when urged by the host, as it shows appreciation for the meal and the host's hospitality. Tom's initial refusal followed by polite acceptance aligns with social norms in Turkey, where hospitality and respect for the host are highly valued. Therefore, Tom's behavior is socially appropriate.\n\nAnswer: **Yes** || In Turkey, it is generally considered polite to accept a second helping of food when urged by the host, especially in a home setting. This shows appreciation for the host's efforts and hospitality. Tom's initial refusal followed by polite acceptance aligns with Turkish social norms, as it demonstrates both humility and respect for the host's insistence. Therefore, Tom's behavior is socially appropriate in Turkey.\n\nAnswer: **Yes** || In Turkey, it is generally considered polite to accept a second helping of food when urged by the host, especially in a home setting. This shows appreciation for the host's efforts and hospitality. Tom's initial refusal followed by polite acceptance aligns with Turkish social norms, as it demonstrates both humility and respect for the host's insistence. Therefore, Tom's behavior is socially appropriate.\n\nAnswer: **Yes** || In Turkey, it is generally considered polite to accept a second helping of food when urged by the host, especially in a home setting. This shows appreciation for the host's efforts and hospitality. Tom's initial refusal followed by polite acceptance aligns with Turkish social norms, as it demonstrates both humility and respect for the host's insistence. Therefore, Tom's behavior is socially appropriate in Turkey.\n\nAnswer: **Yes**"
Turkey,Command-a,861,basic_etiquette,LOCAL,COUNTRY,NONE,yes,5,yes,1.0,,861__Command-a__COUNTRY__NONE,,1.0,"config_signature=c3c13e30e87b ; translation_country=Turkey; translated_story=Turkish ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=In Turkey, it is generally considered polite and socially acceptable to initially decline an offer of a second serving as a gesture of politeness, and then to accept it if the host insists. This behavior aligns with Turkish hospitality norms, where insisting on offering food and the guest eventually accepting after a polite refusal is a common and appreciated practice. Therefore, Tom's action is socially acceptable in Turkey.\n\nAnswer: **Yes** || In Turkey, it is generally considered polite and socially acceptable to initially decline an offer of a second serving of food as a gesture of politeness, but to accept it if the host insists. This behavior aligns with Turkish hospitality norms, where hosts often insist on offering more food to show generosity and care. Tom's initial refusal followed by a gracious acceptance after Sarah's insistence is in line with these cultural expectations.\n\nAnswer: **Yes** || In Turkey, it is generally considered polite and socially acceptable to initially decline an offer of a second serving as a gesture of politeness, and then to accept it if the host insists. This behavior aligns with Turkish hospitality norms, where insisting on offering food and the guest eventually accepting after a polite refusal is a common and appreciated interaction. Therefore, Tom's action is socially acceptable in Turkey.\n\nAnswer: **Yes** || In Turkey, it is generally considered polite and socially acceptable to initially decline an offer of a second serving as a gesture of politeness, and then to accept it if the host insists. This behavior aligns with Turkish cultural norms, where hospitality and respect for the host are highly valued. Therefore, Tom's action of initially refusing and then accepting the second portion after Sarah's insistence is socially acceptable.\n\nAnswer: **Yes** || In Turkey, it is generally considered polite and socially acceptable to initially decline an offer of a second serving as a gesture of politeness, and then to accept it if the host insists. This behavior aligns with Turkish hospitality norms, where insisting on offering food and the guest eventually accepting after a polite refusal is a common and appreciated practice. Therefore, Tom's action is socially acceptable in Turkey.\n\nAnswer: **Yes**"
Turkey,Command-a,861,basic_etiquette,LOCAL_PARA,COUNTRY,NONE,yes,5,yes,1.0,,861__Command-a__COUNTRY__NONE,,1.0,"config_signature=c3c13e30e87b ; translation_country=Turkey; paraphrased_story=Turkish ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=In Turkey, it is a common social norm for hosts to insist on offering more food to their guests, and it is considered polite for guests to initially decline but eventually accept the offer after some insistence. This behavior is seen as a sign of respect and appreciation for the host's hospitality. Therefore, Tom's action of initially declining the second portion but then accepting it after Sarah's insistence aligns with Turkish social norms.\n\nAnswer: **Yes** || In Turkey, it is a common social norm for hosts to insist on offering more food to their guests, and it is equally polite for guests to initially decline but eventually accept the offer after some insistence. This behavior is seen as a sign of respect and hospitality. Therefore, Tom's action of initially refusing the second portion but then accepting it after Sarah's insistence aligns with Turkish social norms.\n\nAnswer: **Yes** || In Turkey, it is a common social norm for hosts to insist on offering more food to their guests, and it is equally polite for guests to initially decline out of courtesy but eventually accept the offer after some insistence. This behavior is seen as a sign of respect and appreciation for the host's hospitality. Therefore, Tom's behavior of initially declining the second portion but then accepting it after Sarah's insistence aligns with Turkish social norms.\n\nAnswer: **Yes** || In Turkey, it is a common social norm for hosts to insist on offering more food to their guests, and it is equally polite for guests to initially decline but eventually accept the offer after some insistence. This behavior is seen as a sign of respect and hospitality. Therefore, Tom's action of initially declining the second portion but then accepting it after Sarah's insistence aligns with Turkish social norms.\n\nAnswer: **Yes** || In Turkey, it is a common social norm for hosts to insist on offering more food to their guests, and it is equally polite for guests to initially decline but eventually accept the offer after some insistence. This behavior is seen as a sign of respect and hospitality. Therefore, Tom's action of initially declining the second portion but then accepting it after Sarah's insistence aligns with Turkish social norms.\n\nAnswer: **Yes**"
