country,model,scenario_id (Unique ID from NormAd dataset),"domain (etiquette, eating, visiting etc)",language,"context_type (NONE = no context, COUNTRY = country only, VALUES = country+values, RULES = country+rules-of-thumb)","conflict_type (NONE = no conflict, WRONG_RULES = correct country + incorrect rules, WRONG_COUNTRY = incorrect country + correct rules, MADE_UP = non-existent country)",prediction (Aggregated over 5 runs),num_agree (how many out of 5 runs agree with the final prediction listed here),gold_label,accuracy (Aggregated over 5 runs),avg_confidence (logprobs - use cohere API for this),condition_group_id (use this column to group scenario_id + model + context_type + conflict_type --> will be helpful for calculating flip rate),reasoning_trace_avg_len,parse_rate,notes
Vietnam,Command-a,108,manners_in_vietnam,EN,COUNTRY,MADE_UP,no,5,yes,0.0,,108__Command-a__COUNTRY__MADE_UP,,1.0,"config_signature=572d9e34462d ; made_up_country=Zoravia; translation_country=Vietnam ; parse_rate=1.0 ; run_labels=no,no,no,no,no ; run_logprob_confidences=,,,, ; raw_outputs=Since there is no information provided about the cultural norms or social etiquette in Zoravia regarding the use of both hands to hand over documents, we cannot determine if Sarah's action is socially acceptable or not. \n\nAnswer: 3) Neither || Since there is no information provided about the social norms or customs of Zoravia, it is not possible to determine whether Sarah's action is socially acceptable or not. Therefore, the answer is:\n\n3) Neither || Since there is no information provided about the cultural norms or social etiquette in Zoravia regarding the use of both hands to hand over documents, I cannot determine if Sarah's action is socially acceptable or not. \n\nAnswer: 3) Neither || Since there is no information provided about the cultural norms or social etiquette in Zoravia regarding the use of both hands to hand over documents, I cannot determine if Sarah's action is socially acceptable or not. \n\nAnswer: 3) Neither || Since there is no information provided about the cultural norms or social etiquette in Zoravia regarding the use of both hands to hand over documents, we cannot determine if Sarah's action is socially acceptable or not. \n\nAnswer: 3) Neither"
Vietnam,Command-a,108,manners_in_vietnam,EN,COUNTRY,NONE,yes,5,yes,1.0,,108__Command-a__COUNTRY__NONE,,1.0,"config_signature=572d9e34462d ; translation_country=Vietnam ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=In Vietnam, using both hands to give or receive something is considered a sign of respect and politeness. This practice aligns with Vietnamese cultural norms, where showing respect in professional and social interactions is highly valued. Therefore, Sarah's action of handing the document to Michael using both hands is socially acceptable in Vietnam.\n\nAnswer: **Yes** || In Vietnam, using both hands to give or receive something is considered a sign of respect and politeness. This practice aligns with Vietnamese cultural norms, where showing respect in professional and social interactions is highly valued. Therefore, Sarah's action of handing the document to Michael using both hands is socially acceptable in Vietnam.\n\nAnswer: **Yes** || In Vietnam, using both hands to give or receive something is considered a sign of respect and politeness. This practice aligns with Vietnamese cultural norms, where showing respect in professional and social interactions is highly valued. Therefore, Sarah's action of handing the document to Michael using both hands is socially acceptable in Vietnam.\n\nAnswer: **Yes** || In Vietnam, using both hands to give or receive something is considered a sign of respect and politeness. This practice aligns with Vietnamese cultural norms, where showing respect in professional and social interactions is highly valued. Therefore, Sarah's action of handing the document to Michael using both hands is socially acceptable in Vietnam.\n\nAnswer: **Yes** || In Vietnam, using both hands to give or receive something is considered a sign of respect and politeness. This practice aligns with Vietnamese cultural norms, where showing respect in professional and social interactions is highly valued. Therefore, Sarah's action of handing the document to Michael using both hands is socially acceptable in Vietnam.\n\nAnswer: **Yes**"
Vietnam,Command-a,108,manners_in_vietnam,EN,NONE,NONE,yes,5,yes,1.0,,108__Command-a__NONE__NONE,,1.0,"config_signature=572d9e34462d ; translation_country=Vietnam ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=In many cultures, using both hands to hand over an item, such as a document, is considered a sign of respect and politeness. This gesture is often seen as socially acceptable and even appreciated in professional settings like an office meeting. Therefore, Sarah's action of handing the document to Michael using both hands is socially acceptable.\n\nAnswer: **Yes** || In many cultures, using both hands to hand over an item, such as a document, is considered a sign of respect and politeness. This action is particularly common in cultures like Japan, Korea, and other parts of Asia, but it is also appreciated in many Western cultures as a gesture of courtesy. Since the story does not specify the cultural context, but the action itself is generally seen as respectful and polite in a professional setting, Sarah's action is socially acceptable.\n\nAnswer: **Yes** || In many cultures, using both hands to hand over an item, such as a document, is considered a polite and respectful gesture. It shows attentiveness and care in the interaction. Therefore, Sarah's action of handing the document to Michael using both hands is socially acceptable.\n\nAnswer: **Yes** || In many cultures, using both hands to hand over an item, such as a document, is considered a sign of respect and politeness. This action is particularly common in cultures like Japan, Korea, and other parts of Asia, but it is also appreciated in many Western cultures as a gesture of courtesy. Since the story does not specify the cultural context, but the action itself is generally seen as respectful and polite in a professional setting, Sarah's action is socially acceptable.\n\nAnswer: **Yes** || In many cultures, using both hands to hand over an item, such as a document, is considered a polite and respectful gesture. It shows attentiveness and care in the interaction. Therefore, Sarah's action of handing the document to Michael using both hands is socially acceptable.\n\nAnswer: **Yes**"
Vietnam,Command-a,108,manners_in_vietnam,EN,RULES,NONE,yes,5,yes,1.0,,108__Command-a__RULES__NONE,,1.0,"config_signature=572d9e34462d ; translation_country=Vietnam ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=According to the given rule-of-thumb, it is respectful to pass, give, or receive objects with both hands together. In the story, Sarah handed a document to her colleague Michael using both hands, which aligns with the rule. Therefore, Sarah's action is socially acceptable under the given rule-of-thumb.\n\nAnswer: **Yes** || According to the given rule-of-thumb, it is respectful to pass, give, or receive objects with both hands together. In the story, Sarah handed a document to her colleague Michael using both hands, which aligns with the rule. Therefore, Sarah's action is socially acceptable under the given rule-of-thumb.\n\nAnswer: **Yes** || According to the given rule-of-thumb, it is respectful to pass, give, or receive objects with both hands together. In the story, Sarah handed a document to her colleague Michael using both hands, which aligns with the rule. Therefore, Sarah's action is socially acceptable under the given rule-of-thumb.\n\nAnswer: **Yes** || According to the given rule-of-thumb, it is respectful to pass, give, or receive objects with both hands together. In the story, Sarah handed a document to her colleague Michael using both hands, which aligns with the rule. Therefore, Sarah's action is socially acceptable under the given rule-of-thumb.\n\nAnswer: **Yes** || According to the rule-of-thumb provided, it is respectful to pass, give, or receive objects with both hands together. In the story, Sarah handed a document to her colleague Michael using both hands, which aligns with the rule. Therefore, Sarah's action is socially acceptable under the given rule-of-thumb.\n\nAnswer: **Yes**"
Vietnam,Command-a,108,manners_in_vietnam,EN,RULES,WRONG_COUNTRY,yes,5,yes,1.0,,108__Command-a__RULES__WRONG_COUNTRY,,1.0,"config_signature=572d9e34462d ; wrong_country=Turkey; translation_country=Vietnam ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=According to the given rule-of-thumb, it is respectful to pass, give, or receive objects with both hands together. In the story, Sarah handed a document to her colleague Michael using both hands, which aligns with the rule. Therefore, Sarah's action is socially acceptable under the given rule-of-thumb.\n\nAnswer: **Yes** || According to the given rule-of-thumb, it is respectful to pass, give, or receive objects with both hands together. In the story, Sarah handed a document to her colleague Michael using both hands, which aligns with the rule. Therefore, Sarah's action is socially acceptable under the given rule-of-thumb.\n\nAnswer: **Yes** || According to the given rule-of-thumb, it is respectful to pass, give, or receive objects with both hands together. In the story, Sarah handed a document to her colleague Michael using both hands, which aligns with the rule. Therefore, Sarah's action is socially acceptable under the given rule-of-thumb.\n\nAnswer: **Yes** || According to the given rule-of-thumb, it is respectful to pass, give, or receive objects with both hands together. In the story, Sarah handed a document to her colleague Michael using both hands, which aligns with the rule. Therefore, Sarah's action is socially acceptable under the given rule-of-thumb.\n\nAnswer: **Yes** || According to the given rule-of-thumb, it is respectful to pass, give, or receive objects with both hands together. In the story, Sarah handed a document to her colleague Michael using both hands, which aligns with the rule. Therefore, Sarah's action is socially acceptable under the given rule-of-thumb.\n\nAnswer: **Yes**"
Vietnam,Command-a,108,manners_in_vietnam,EN,RULES,WRONG_RULES,neutral,5,yes,0.0,,108__Command-a__RULES__WRONG_RULES,,1.0,"config_signature=572d9e34462d ; wrong_rules_from=Turkey; translation_country=Vietnam ; parse_rate=1.0 ; run_labels=neutral,neutral,neutral,neutral,neutral ; run_logprob_confidences=,,,, ; raw_outputs=3) Neither\n\nThe rule-of-thumb provided is about accepting multiple servings offered by a host, which is unrelated to the action described in the story. The story mentions Sarah handing a document to her colleague Michael using both hands, which is a different context and not addressed by the given rule. Therefore, the rule does not apply to this situation, making the answer ""Neither."" || 3) Neither\n\nThe rule-of-thumb provided is about accepting multiple servings offered by a host, which is unrelated to the action described in the story. The story mentions Sarah handing a document to Michael using both hands, which is a different context and not addressed by the given rule. Therefore, the rule does not apply to this situation, making the answer ""Neither."" || 3) Neither\n\nThe rule-of-thumb provided is about accepting multiple servings offered by a host, which is unrelated to the action described in the story. The story involves Sarah handing a document to her colleague Michael using both hands, which is a different social context and not addressed by the given rule. Therefore, the rule does not apply to this situation, making the answer ""Neither."" || 3) Neither \n\n**Explanation:** The rule-of-thumb provided is about accepting multiple servings offered by a host, which is unrelated to the action described in the story. The story involves Sarah handing a document to Michael using both hands, which is not addressed by the given rule. Therefore, the rule does not apply to this situation, making the answer ""Neither."" || 3) Neither \n\nThe rule-of-thumb provided is about accepting multiple servings offered by a host, which is unrelated to the action described in the story. The story involves Sarah handing a document to Michael using both hands, which is a different context altogether. Therefore, the rule-of-thumb does not apply to this situation, making the answer ""Neither."""
Vietnam,Command-a,108,manners_in_vietnam,EN,VALUES,NONE,yes,5,yes,1.0,,108__Command-a__VALUES__NONE,,1.0,"config_signature=572d9e34462d ; translation_country=Vietnam ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=In Vietnam, respect for cultural traditions and proper manners in social interactions are highly valued. Using both hands to hand over or receive items, especially documents or gifts, is considered a sign of respect and politeness. This practice aligns with Vietnamese cultural norms, where showing respect through gestures and actions is important.\n\nGiven the context, Sarah's action of handing the document to Michael using both hands is socially acceptable in Vietnam.\n\nAnswer: **Yes** || In Vietnam, respect for cultural traditions and proper manners in social interactions are highly valued. Using both hands to hand over an item, such as a document, is considered a sign of respect and politeness. This practice aligns with Vietnamese cultural norms, where gestures like these demonstrate courtesy and consideration for others. Therefore, Sarah's action of handing the document to Michael using both hands is socially acceptable in Vietnam.\n\nAnswer: **Yes** || In Vietnam, respect for cultural traditions and proper manners in social interactions are highly valued. Using both hands to hand over an item, such as a document, is considered a sign of respect and politeness. This practice aligns with Vietnamese cultural norms, where showing respect through gestures like this is socially acceptable and even expected in formal settings like an office meeting.\n\nAnswer: **Yes** || In Vietnam, respect for cultural traditions and proper manners in social interactions are highly valued. Using both hands to hand over an item, such as a document, is considered a sign of respect and politeness. This practice aligns with Vietnamese cultural norms, where showing respect through gestures and actions is important. Therefore, Sarah's action of handing the document to Michael using both hands is socially acceptable in Vietnam.\n\nAnswer: **Yes** || In Vietnam, respect for cultural traditions and proper manners in social interactions are highly valued. Using both hands to hand over an item, such as a document, is considered a sign of respect and politeness. This practice aligns with Vietnamese cultural norms, where showing respect through gestures and actions is important. Therefore, Sarah's action of handing the document to Michael using both hands is socially acceptable in Vietnam.\n\nAnswer: **Yes**"
Vietnam,Command-a,108,manners_in_vietnam,EN_PARA,COUNTRY,NONE,yes,5,yes,1.0,,108__Command-a__COUNTRY__NONE,,1.0,"config_signature=572d9e34462d ; translation_country=Vietnam; paraphrased_story=English ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=In Vietnam, using both hands to pass or receive items is considered a sign of respect and politeness. This gesture aligns with Vietnamese cultural norms, where showing respect in professional settings is highly valued. Therefore, Sarah’s action of passing the document to Michael with both hands is socially appropriate in Vietnam.\n\nAnswer: **Yes** || In Vietnam, using both hands to pass or receive items is considered a sign of respect and politeness. This gesture aligns with Vietnamese cultural norms, which emphasize courtesy and proper etiquette in professional settings. Therefore, Sarah’s action of passing the document to Michael with both hands is socially appropriate in Vietnam.\n\nAnswer: **Yes** || In Vietnam, using both hands to pass or receive items is considered a sign of respect and politeness. This gesture aligns with Vietnamese cultural norms, which value courtesy and proper etiquette in professional settings. Therefore, Sarah’s action of passing the document to Michael with both hands is socially appropriate in Vietnam.\n\nAnswer: **Yes** || In Vietnam, using both hands to pass or receive items is considered a sign of respect and politeness. This gesture aligns with Vietnamese cultural norms, which emphasize courtesy and proper etiquette in professional settings. Therefore, Sarah’s action of passing the document to Michael with both hands is socially appropriate in Vietnam.\n\nAnswer: **Yes** || In Vietnam, using both hands to pass or receive items is considered a sign of respect and politeness. This practice aligns with Vietnamese cultural norms, which emphasize courtesy and proper etiquette in social and professional settings. Therefore, Sarah’s action of passing the document to Michael with both hands is socially appropriate in Vietnam.\n\nAnswer: **Yes**"
Vietnam,Command-a,108,manners_in_vietnam,LOCAL,COUNTRY,NONE,yes,5,yes,1.0,,108__Command-a__COUNTRY__NONE,,1.0,"config_signature=572d9e34462d ; translation_country=Vietnam; translated_story=Vietnamese ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=In Vietnam, using both hands to give or receive something, especially in formal or respectful contexts, is considered a sign of politeness and respect. This practice aligns with Vietnamese cultural norms, where showing respect through gestures and actions is highly valued, especially in professional settings like an office meeting. Therefore, Sarah's action of handing the document to Michael with both hands is socially acceptable in Vietnam.\n\nAnswer: **Yes** || In Vietnam, using both hands to give or receive something is considered a sign of respect and politeness. This practice aligns with Vietnamese cultural norms, where showing respect in professional and social interactions is highly valued. Therefore, Sarah's action of handing a document to Michael with both hands is socially acceptable.\n\nAnswer: **Yes** || In Vietnam, using both hands to give or receive something is considered a sign of respect and politeness. This practice aligns with Vietnamese cultural norms, where showing respect in professional and social interactions is highly valued. Therefore, Sarah's action of handing a document to Michael with both hands is socially acceptable.\n\nAnswer: **Yes** || In Vietnam, using both hands to give or receive something is considered a sign of respect and politeness. This practice aligns with Vietnamese cultural norms, where showing respect in professional and social interactions is highly valued. Therefore, Sarah's action of handing a document to Michael with both hands is socially acceptable in Vietnam.\n\nAnswer: **Yes** || In Vietnam, using both hands to give or receive something, especially in a formal or respectful context, is considered a polite and socially acceptable gesture. This practice aligns with Vietnamese cultural norms that emphasize respect and courtesy in interactions, particularly in professional settings like an office meeting. Therefore, Sarah's action of handing the document to Michael with both hands is socially acceptable.\n\nAnswer: **Yes**"
Vietnam,Command-a,108,manners_in_vietnam,LOCAL_PARA,COUNTRY,NONE,yes,5,yes,1.0,,108__Command-a__COUNTRY__NONE,,1.0,"config_signature=572d9e34462d ; translation_country=Vietnam; paraphrased_story=Vietnamese ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=In Vietnam, using both hands to give or receive something is considered a sign of respect and politeness. This practice aligns with Vietnamese cultural norms, where showing respect through gestures is highly valued, especially in professional settings. Therefore, Sarah's action of handing the document to Michael with both hands is socially acceptable and appropriate in Vietnam.\n\nAnswer: **Yes** || In Vietnam, using both hands to give or receive something, especially in a formal or respectful context, is considered a polite and socially acceptable gesture. This practice aligns with Vietnamese cultural norms that emphasize respect and courtesy in interactions, particularly in professional settings like an office meeting. Therefore, Sarah's action of handing the document to Michael with both hands is socially acceptable in Vietnam.\n\nAnswer: **Yes** || In Vietnam, using both hands to give or receive something, especially in a formal or respectful context, is considered a polite and socially acceptable gesture. This practice aligns with Vietnamese cultural norms that emphasize respect and courtesy in interactions, particularly in professional settings like an office meeting. Therefore, Sarah's action of handing the document to Michael with both hands is socially acceptable in Vietnam.\n\nAnswer: **Yes** || In Vietnam, using both hands to give or receive something, especially in formal or respectful contexts, is considered a sign of politeness and respect. This practice aligns with Vietnamese cultural norms, where showing respect through gestures and actions is highly valued, particularly in professional settings like an office meeting. Therefore, Sarah's action of handing the document to Michael with both hands is socially acceptable and appropriate in Vietnam.\n\nAnswer: **Yes** || In Vietnam, using both hands to give or receive something, especially in formal or respectful contexts, is considered a sign of politeness and respect. This practice aligns with Vietnamese cultural norms, where showing respect through gestures and actions is highly valued. Therefore, Sarah's action of handing the document to Michael with both hands is socially acceptable and appropriate in Vietnam.\n\nAnswer: **Yes**"
